Price,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,GOOG,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-29 14:30:00-04:00,,341.5299987792969,229.60000610351562,,589.12939453125,73.36499786376953,343.94000244140625,232.82000732421875,,599.969970703125,73.7300033569336,341.3299865722656,229.49000549316406,,588.0700073242188,73.20999908447266,343.5899963378906,231.4300994873047,,593.5499877929688,73.56999969482422,4812676,4537175,,1830107,4429067
2026-07-29 15:30:00-04:00,,338.07000732421875,226.7100067138672,,587.0,73.62999725341797,341.55999755859375,229.65499877929688,,590.2000122070312,73.68000030517578,337.35009765625,226.16000366210938,,582.219970703125,73.26000213623047,341.55999755859375,229.64999389648438,,589.1400146484375,73.36499786376953,8640481,8087435,,3503873,7864359
2026-07-30 09:30:00-04:00,,331.30999755859375,237.30999755859375,,531.3615112304688,70.69000244140625,334.4800109863281,238.3800048828125,,537.5,71.62950134277344,330.3500061035156,231.05999755859375,,524.5189819335938,70.55000305175781,334.1099853515625,233.25,,525.739990234375,71.27999877929688,13578994,24136492,,15573619,12040462
2026-07-30 10:30:00-04:00,,331.2200012207031,236.5500030517578,,533.0050048828125,71.4999008178711,333.03228759765625,238.13780212402344,,538.9400024414062,71.54989624023438,329.5899963378906,236.32749938964844,,529.6699829101562,70.64399719238281,331.29998779296875,237.30999755859375,,531.4000244140625,70.68499755859375,6768257,6296667,,5431602,6560183
2026-07-30 11:30:00-04:00,,332.0899963378906,238.6999969482422,,531.5399780273438,72.4999008178711,332.6000061035156,239.49000549316406,,536.989990234375,72.58999633789062,330.6300048828125,236.4499969482422,,531.3200073242188,71.44000244140625,331.2349853515625,236.55999755859375,,532.9500122070312,71.48999786376953,6061981,6727384,,3965992,4896605
2026-07-30 12:30:00-04:00,,332.0899963378906,237.77000427246094,,532.77001953125,73.08999633789062,332.8500061035156,238.97999572753906,,533.25,73.16500091552734,331.4049987792969,237.5,,529.77001953125,72.49500274658203,332.0899963378906,238.6699981689453,,531.4749755859375,72.49500274658203,4068798,4500643,,3168629,5702161
2026-07-30 13:30:00-04:00,,333.1000061035156,237.4080047607422,,532.9600219726562,72.94499969482422,333.9800109863281,238.125,,534.9400024414062,73.19000244140625,331.7200927734375,236.91000366210938,,531.52001953125,72.81999969482422,332.0799865722656,237.75,,532.6950073242188,73.08999633789062,3594892,4815422,,2561464,4285730
2026-07-30 14:30:00-04:00,,333.1600036621094,239.52000427246094,,534.5399780273438,72.87000274658203,334.0899963378906,239.82359313964844,,535.9600219726562,73.02999877929688,332.8999938964844,237.0399932861328,,532.0,72.72000122070312,333.1199951171875,237.42999267578125,,532.969970703125,72.94999694824219,4768291,8409950,,2992702,4054228
2026-07-30 15:30:00-04:00,,333.8500061035156,236.02999877929688,,539.0599975585938,73.1500015258789,334.75,239.77000427246094,,539.8800048828125,73.31999969482422,332.30999755859375,234.7801055908203,,533.2100219726562,72.76499938964844,333.1600036621094,239.5399932861328,,534.5399780273438,72.875,6035501,12546815,,4456265,7690773
2026-07-31 09:30:00-04:00,,302.739990234375,269.6300048828125,,547.22998046875,71.3550033569336,306.8999938964844,270.94000244140625,,557.9600219726562,72.75,300.3299865722656,262.1499938964844,,542.760009765625,71.18000030517578,304.80999755859375,264.9849853515625,,543.5599975585938,71.96499633789062,42271625,49279882,,7362804,6864663
2026-07-31 10:30:00-04:00,,301.7300109863281,267.3999938964844,,540.8800048828125,71.6449966430664,304.25,272.0400085449219,,553.0700073242188,71.81999969482422,301.6400146484375,267.364990234375,,540.760009765625,71.1050033569336,302.7550048828125,269.6000061035156,,547.3795166015625,71.3550033569336,10897816,17016236,,3279199,4452453
2026-07-31 11:30:00-04:00,,300.5400085449219,270.7900085449219,,549.22998046875,71.64600372314453,302.82000732421875,271.5299987792969,,549.5700073242188,71.7750015258789,300.3999938964844,266.32000732421875,,540.239990234375,71.45500183105469,301.7300109863281,267.4049987792969,,540.780029296875,71.6500015258789,9857216,13082516,,1790502,2848306
2026-07-31 12:30:00-04:00,,301.20001220703125,271.30999755859375,,549.3250122070312,71.54499816894531,301.83428955078125,271.54998779296875,,552.0999755859375,71.63999938964844,300.0,269.67999267578125,,546.4008178710938,71.3499984741211,300.55999755859375,270.79998779296875,,549.2999877929688,71.63999938964844,7813750,7609537,,1858243,2531068
2026-07-31 13:30:00-04:00,,301.7300109863281,270.7799987792969,,550.0775146484375,71.66000366210938,302.4200134277344,271.75,,551.6400146484375,71.83000183105469,300.5,270.20001220703125,,547.5,71.41999816894531,301.20001220703125,271.3299865722656,,549.3350219726562,71.54019927978516,9575659,6333731,,1772205,2840274
2026-07-31 14:30:00-04:00,,305.6549987792969,271.8219909667969,,552.5599975585938,71.6050033569336,305.7099914550781,272.3599853515625,,553.739990234375,71.77999877929688,301.7449951171875,270.510009765625,,549.1799926757812,71.19999694824219,301.760009765625,270.7784118652344,,550.135009765625,71.6500015258789,11851963,9944689,,2577461,3297446
2026-07-31 15:30:00-04:00,,309.0299987792969,271.6099853515625,,556.5,71.69999694824219,310.6600036621094,273.2300109863281,,558.3300170898438,71.80979919433594,305.0199890136719,271.0400085449219,,551.0100708007812,71.50499725341797,305.6600036621094,271.8299865722656,,552.5399780273438,71.6050033569336,20642958,12190809,,3064620,4897260
